Model name,Model type,Folder,Topo_Precision,Topo_Recall,Topo_F1,Trivial_Precision,Trivial_Recall,Trivial_F1,Macro avg Precision,Macro Avg Recall,Macro Avg F1,Accuracy,SSIM,RMSE,LPIPS
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_8\trained_model,bs=64_perturb=True_lr=1e-04,0.936,0.741,0.823,0.829,0.989,0.899,0.882,0.865,0.861,0.887,0.565,0.134,0.104
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_80\trained_model,bs=64_perturb=True_lr=1e-04,0.684,0.121,0.181,0.578,1.000,0.719,0.631,0.561,0.450,0.602,0.211,0.450,0.556
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_81\trained_model,bs=64_perturb=True_lr=1e-04,0.485,1.000,0.628,0.104,0.059,0.068,0.295,0.529,0.348,0.491,0.261,0.520,0.697
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_82\trained_model,bs=64_perturb=True_lr=1e-04,0.962,0.357,0.475,0.661,1.000,0.786,0.812,0.678,0.631,0.724,0.263,0.322,0.359
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_83\trained_model,bs=64_perturb=True_lr=1e-04,0.685,0.997,0.765,0.997,0.566,0.652,0.841,0.781,0.709,0.727,0.418,0.279,0.279
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_84\trained_model,bs=64_perturb=True_lr=1e-04,0.590,0.999,0.703,0.996,0.330,0.408,0.793,0.665,0.555,0.620,0.326,0.391,0.462
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_85\trained_model,bs=64_perturb=True_lr=1e-04,0.517,1.000,0.650,0.230,0.131,0.149,0.373,0.566,0.400,0.526,0.278,0.484,0.670
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_86\trained_model,bs=64_perturb=True_lr=1e-04,0.560,0.998,0.680,0.461,0.236,0.271,0.510,0.617,0.476,0.576,0.311,0.432,0.617
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_87\trained_model,bs=64_perturb=True_lr=1e-04,0.233,0.039,0.051,0.553,1.000,0.698,0.393,0.520,0.374,0.559,0.207,0.490,0.612
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_88\trained_model,bs=64_perturb=True_lr=1e-04,0.511,1.000,0.647,0.226,0.121,0.139,0.369,0.560,0.393,0.521,0.274,0.490,0.675
